country,test_group,watch_time,pause_count,avg_watch_time_per_video,Webpage_clicks_per_session,Videos_completed_per_session,userid,ds,sessionid
Country6,test,3015,56,2026,1,84,2834967037,05-24-2023,d348945699
Country2,test,2745,71,1598,0,87,6384826409,05-15-2023,589bc55119
Country9,control,3788,51,701,7,25,2544880957,05-16-2023,e3151fb892
Country5,control,4083,36,600,8,68,1845092494,05-17-2023,eb68d5d031
Country2,control,3357,61,524,5,79,7969604411,05-18-2023,0e865e2722
Country1,test,3094,49,2283,1,14,6898253628,05-19-2023,f2c47638d5
Country10,test,2284,45,2490,1,54,1872286144,05-20-2023,b54a23dfb2
Country10,control,4018,52,532,9,38,5919034705,05-21-2023,f32bc90779
Country3,test,1904,45,2437,2,45,2724320687,05-22-2023,48698f57e6
Country2,test,1953,59,1911,1,50,7070355024,05-23-2023,76bc2e612b
Country10,control,3485,69,471,4,34,3681654238,05-24-2023,e26dcd4467
Country10,test,2951,50,2757,1,57,6981113566,05-15-2023,e1478f2e4e
Country8,control,4321,45,705,10,89,2488432365,05-16-2023,71d484e5c3
Country2,test,3163,45,2551,1,19,2588884956,05-17-2023,4c6c4de9ec
Country6,test,2409,32,2029,1,63,5195876996,05-18-2023,6c9c1d6ea9
Country10,test,2678,55,2269,1,63,9032317659,05-19-2023,179538cf6d
Country8,test,1787,56,1339,2,2,5851491768,05-20-2023,7b32716f99
Country9,test,2419,50,1990,1,5,8508380200,05-21-2023,bcea892403
Country10,control,2767,51,544,12,21,1646086695,05-22-2023,71bc44014b
Country10,control,3664,60,479,6,68,9700520517,05-23-2023,651ecd6bce
Country10,test,3092,61,2336,1,53,8388072411,05-24-2023,3760024269
Country5,control,3503,71,680,7,33,3258195455,05-15-2023,c5d4eb8f64
Country10,test,2861,52,2744,0,56,6078181999,05-16-2023,a04c41a9b4
Country1,test,1678,50,1930,1,40,6728889675,05-17-2023,b106c1ec4d
Country3,test,1706,45,2654,1,38,1333025472,05-18-2023,d4f5f75ba9
Country4,control,3890,30,635,7,36,7175206117,05-19-2023,f3ba97e0c0
Country5,control,4142,71,664,7,59,7460790326,05-20-2023,2ed80bda3f
Country8,test,1993,37,2536,0,50,3835270512,05-21-2023,e9031e1b4a
Country9,test,2583,53,1320,1,37,9512152683,05-22-2023,e33a74b1e9
Country7,test,2214,37,2855,1,8,4329718305,05-23-2023,bc61db23c2
Country1,test,2463,64,1140,1,83,8134852526,05-24-2023,9b0beef5a9
Country2,test,3543,46,2425,0,4,9911253215,05-15-2023,336d803f8c
Country3,test,3467,38,1599,2,17,6322178055,05-16-2023,041033c7e2
Country6,test,3142,63,1949,0,7,8058120914,05-17-2023,9aa6b7d610
Country9,control,3698,75,795,6,16,5664595855,05-18-2023,2e5d68fa41
Country2,test,1945,58,1178,2,30,4514402407,05-19-2023,cf23e8f664
Country1,control,2881,40,479,8,39,8834284547,05-20-2023,2553a59b1b
Country10,test,2030,48,2097,1,1,6970673011,05-21-2023,99ef203391
Country7,test,3120,41,1295,1,59,9611108433,05-22-2023,a8e55722a4
Country7,test,2926,42,2484,1,80,7684254670,05-23-2023,5b2b186ad8
Country5,test,2153,58,1327,1,7,4563339259,05-24-2023,601c33d58d
Country3,test,1762,48,2301,1,36,2975136611,05-15-2023,ce2ad9c846
Country6,control,4120,53,556,8,22,3066657802,05-16-2023,206940a5b7
Country6,control,2690,50,651,8,26,9253891117,05-17-2023,ee9d363c36
Country4,control,3114,51,672,6,87,3892763081,05-18-2023,532f1dde78
Country4,test,2124,56,2242,1,28,9366453959,05-19-2023,c833b0e477
Country7,test,2945,60,2151,1,93,9869989476,05-20-2023,fdac39d1fc
Country1,control,3828,68,641,8,28,5572666738,05-21-2023,c0c075a735
Country4,control,3950,53,528,7,98,8411889574,05-22-2023,fb8a42a1a3
Country3,control,3906,45,664,6,44,5021439838,05-23-2023,f4fa035ca0
Country10,control,3640,58,369,10,11,3165029110,05-24-2023,388f60f41a
Country4,control,3534,47,685,10,7,5037865327,05-15-2023,72502e4d1b
Country9,test,2915,50,1405,1,51,8303957268,05-16-2023,ebbc213eb5
Country9,test,2776,49,2089,1,86,2537297587,05-17-2023,303d163246
Country3,test,1636,47,2499,0,75,8548205412,05-18-2023,916e74d734
Country10,test,1632,58,2442,1,93,3856691179,05-19-2023,aa8cf16c7b
Country3,test,2583,59,1398,1,89,5256586314,05-20-2023,f2d01eab6e
Country4,test,2243,44,1375,0,91,7601524818,05-21-2023,4444ac4ca5
Country2,control,3772,44,398,7,15,1233659265,05-22-2023,b2234375bc
Country2,test,2666,47,1226,1,55,8048092437,05-23-2023,83dce83b2b
Country9,test,2467,39,2150,2,85,4914899092,05-24-2023,07b60b25d6
Country8,test,3088,36,2683,1,24,6923687160,05-15-2023,390947b018
Country6,test,2955,28,1263,1,54,4410547985,05-16-2023,67e432ff7e
Country3,control,4064,46,502,8,27,9977522653,05-17-2023,fd91304931
Country10,test,3003,48,2073,2,38,3802458290,05-18-2023,72eb20b810
Country9,control,4338,52,589,8,78,4572123517,05-19-2023,e7abf7d165
Country3,test,3118,56,2399,2,49,7626802579,05-20-2023,5834c5586d
Country10,test,1412,62,2380,2,89,4589703092,05-21-2023,99e3320541
Country4,test,2190,45,1506,0,12,4585059085,05-22-2023,69a677e82a
Country1,test,1809,58,2584,1,57,7824154009,05-23-2023,5b3a32c121
Country2,control,3061,43,519,8,17,2776340953,05-24-2023,e6940fd278
Country8,control,4360,54,673,6,68,2320089439,05-15-2023,6b51e16fd4
Country1,control,2958,41,582,7,88,7628744028,05-16-2023,dff7e38449
Country8,control,4938,39,501,7,31,8528168560,05-17-2023,0e317ceb5b
Country9,control,3692,54,818,7,60,7137256537,05-18-2023,3777e71d0c
Country7,control,2663,54,556,11,34,8216620286,05-19-2023,b0e09dcc9c
Country6,control,3066,30,661,10,87,7276915554,05-20-2023,6f3595b273
Country7,test,3442,67,2128,1,15,2766133811,05-21-2023,11a5a36d88
Country5,control,3881,46,620,6,85,8217618215,05-22-2023,db5470d36f
Country1,control,3589,43,542,9,60,2470903797,05-23-2023,6210a37a0c
Country7,control,3794,45,518,9,94,2567104319,05-24-2023,c79f0f91b8
Country2,test,3019,52,2120,1,57,5647142933,05-15-2023,5dfac29dc7
Country6,test,2151,47,1788,2,84,3945462305,05-16-2023,009f56f9c6
Country5,test,2573,51,2338,1,24,6162766424,05-17-2023,90054c5f77
Country5,control,3662,58,301,8,4,7847646181,05-18-2023,3ada80f783
Country10,test,2357,67,1475,1,42,2579609197,05-19-2023,d1bba3eaa5
Country3,test,2564,33,1605,1,2,2011565137,05-20-2023,9e2eac365f
Country5,control,3185,41,587,12,60,3260688503,05-21-2023,77f897d08c
Country1,test,2395,29,1929,1,35,5170101241,05-22-2023,57d44f8ada
Country3,test,2888,49,2462,1,71,6207252767,05-23-2023,0b81f9624e
Country5,test,1859,46,1459,1,94,9447143374,05-24-2023,cc997fa6e5
Country2,test,2567,66,1515,1,28,4739033694,05-15-2023,728bea549e
Country4,test,2788,56,1861,1,8,9443128649,05-16-2023,a36a0f946d
Country10,test,1959,38,1422,0,7,1885631023,05-17-2023,1d1ee7dfd5
Country7,test,2627,57,1487,1,94,3460405596,05-18-2023,731d55cd08
Country7,test,3158,56,1679,0,73,1185278474,05-19-2023,128bdda903
Country10,test,2441,57,1641,1,79,9152290788,05-20-2023,8256737ff2
Country6,control,3386,58,664,7,69,5045614311,05-21-2023,79fc2abc39
Country1,control,4156,53,497,9,50,8385082616,05-22-2023,059d34b459
Country9,control,4297,42,736,7,23,6393947610,05-23-2023,e90701f43e
Country4,control,3222,67,767,9,5,4350611172,05-24-2023,ee418f14e3
Country6,test,1334,40,2345,0,45,9643028469,05-15-2023,d74955113d
Country1,test,2909,41,872,1,89,2191331528,05-16-2023,6076d444b1
Country4,test,2234,48,2245,0,18,9394271467,05-17-2023,4e3c128e27
Country10,control,2663,46,460,7,32,3517625622,05-18-2023,91ad29233a
Country2,test,2486,59,2483,1,9,4433903297,05-19-2023,4fb9c74435
Country2,test,2392,44,1428,0,17,6266935473,05-20-2023,0e6417cd6a
Country2,control,4283,30,539,8,76,9429476544,05-21-2023,a55b6a1503
Country1,test,1983,47,1515,1,82,4982195627,05-22-2023,0b88a053da
Country6,test,2566,30,3253,1,40,4513547766,05-23-2023,a063a050cd
Country7,control,3485,46,527,8,3,6691767425,05-24-2023,d68c255f0c
Country3,test,1928,44,1848,1,34,8533234022,05-15-2023,b2137d0204
Country1,control,2780,47,660,4,53,3137554112,05-16-2023,ca3f4a4059
Country10,control,3687,36,348,9,79,6221591878,05-17-2023,3748d6af85
Country6,control,3793,61,759,8,32,1716388920,05-18-2023,7b2e156b2d
Country8,test,2293,51,1424,2,14,6962156620,05-19-2023,0b746c3209
Country1,control,3534,39,682,8,77,1841059205,05-20-2023,cfd0143b9a
Country3,test,2537,40,1516,1,77,1745364551,05-21-2023,90cab8427c
Country3,control,4096,39,592,9,88,9888640144,05-22-2023,15d704aa32
Country10,test,3310,52,1755,1,31,1066895357,05-23-2023,db81e5609c
Country6,control,3054,34,598,7,19,9585425220,05-24-2023,4fad7d14e4
Country5,test,2097,37,1198,1,3,7507857147,05-15-2023,abcb364606
Country6,control,4197,39,578,6,26,5450966541,05-16-2023,ceaac3e07b
Country4,test,1704,53,1887,1,37,2142045911,05-17-2023,84cb503468
Country10,test,2624,35,1716,1,91,9531489584,05-18-2023,b28db4999d
Country4,test,2028,65,1770,0,25,2927008497,05-19-2023,e2ec90c6d0
Country3,control,3772,57,592,7,57,1272177957,05-20-2023,77c97e78ed
Country6,control,2394,44,805,5,61,5949183918,05-21-2023,ef82c5e89f
Country9,test,2156,29,2061,1,75,2491042606,05-22-2023,0fca5946b6
Country9,control,3686,36,529,6,7,9628227801,05-23-2023,b05f15bc8e
Country8,control,4128,40,745,5,62,8293522575,05-24-2023,d3a8474557
Country7,test,2207,51,2187,1,85,8040765445,05-15-2023,d3da8c884c
Country2,control,3029,46,734,5,55,4410090575,05-16-2023,389fefe060
Country1,control,3793,50,695,7,63,7381425520,05-17-2023,cce54f8718
Country9,control,4007,56,489,7,90,6262669229,05-18-2023,81de6a0d43
Country10,control,2987,54,630,5,100,6748962600,05-19-2023,c42c421f6f
Country8,control,3861,49,585,9,3,6609785512,05-20-2023,15736a645a
Country8,control,4224,46,571,7,2,9189258674,05-21-2023,ba9c570297
Country1,test,3040,60,2523,1,69,2545268755,05-22-2023,8ecfe71030
Country2,test,2075,69,1794,1,96,9297515080,05-23-2023,09a958ee75
Country5,test,3100,72,1912,2,55,6255001336,05-24-2023,11d1d30418
Country1,control,4101,59,685,7,84,3280969600,05-15-2023,1e4680d97c
Country5,test,2676,54,2177,0,56,7543086607,05-16-2023,8966d3f00f
Country1,control,4389,37,586,9,100,8620896235,05-17-2023,3aa277e932
Country9,control,4225,55,576,11,41,9744560076,05-18-2023,3329127b55
Country5,control,4560,50,569,6,91,7345033977,05-19-2023,5423185650
Country8,control,2605,48,601,6,35,1434796685,05-20-2023,8acbd409e7
Country1,test,2442,40,1282,1,35,9565213450,05-21-2023,6c928854d5
Country8,test,1800,49,1411,1,45,8148606439,05-22-2023,986896f66a
Country3,test,3000,46,2413,0,80,6047983072,05-23-2023,9da978dfc5
Country8,control,3101,58,479,7,27,8118308871,05-24-2023,e1c68459a4
Country7,test,2407,55,1201,1,16,3158096522,05-15-2023,8b7d713068
Country2,test,2802,49,1830,1,14,1448195007,05-16-2023,f62d6772b2
Country8,test,2716,57,1896,1,64,8800828129,05-17-2023,ce20331445
Country6,test,2880,32,1750,1,9,6038372463,05-18-2023,4c30dfaa1d
Country9,control,4085,47,467,4,37,5752029603,05-19-2023,8930d301d9
Country1,control,4191,51,607,8,42,1814393280,05-20-2023,ef1e92cea5
Country4,control,3712,45,726,5,75,4633538528,05-21-2023,59cc88640c
Country10,test,2584,55,3127,0,65,2261827267,05-22-2023,86cc0b257a
Country2,control,3755,43,702,8,83,9000436342,05-23-2023,e7353edd88
Country5,control,3924,40,618,5,15,8363388178,05-24-2023,dd3863308b
Country8,control,3218,36,693,8,9,8572008396,05-15-2023,710606a1d1
Country9,control,2974,59,522,7,10,8641459925,05-16-2023,e3dd283ab9
Country9,control,3483,63,645,6,42,6611124720,05-17-2023,0fb52ec318
Country3,control,3990,35,693,9,45,6715200290,05-18-2023,0529b86607
Country9,control,3419,60,742,8,37,6570656599,05-19-2023,8b0b883605
Country2,control,3669,48,515,9,58,9846291090,05-20-2023,aadcf2d08b
Country5,test,2332,59,2256,1,18,6430049680,05-21-2023,a552343aca
Country7,control,3571,37,521,8,65,5881205569,05-22-2023,702d19aece
Country7,control,4088,73,773,12,29,8515118424,05-23-2023,453efa4c2e
Country9,control,2877,67,651,8,3,3638017431,05-24-2023,e325238a4c
Country9,control,3838,45,431,5,24,7320752292,05-15-2023,87aed43a82
Country10,test,2384,69,1940,1,26,9181195125,05-16-2023,dadee3d6e2
Country10,test,3432,41,2191,1,64,4412627810,05-17-2023,184dce896e
Country6,control,3629,62,623,11,78,4916841384,05-18-2023,ac4e3ba0ec
Country1,test,2392,48,2478,1,24,2336881297,05-19-2023,c70c086264
Country7,test,2368,64,3005,1,75,1869841048,05-20-2023,7b05cbfe09
Country8,control,4294,52,454,5,3,8671410003,05-21-2023,5930a0a788
Country5,test,2818,65,1461,0,86,7449370843,05-22-2023,1a36726b04
Country4,test,2236,60,2247,1,9,1807374233,05-23-2023,72a05b4125
Country8,control,4651,48,679,8,80,9403925842,05-24-2023,f9ed3f5f42
Country7,test,2498,62,2431,0,84,2600151918,05-15-2023,63c167c089
Country2,test,1921,42,2274,0,63,9033694097,05-16-2023,5287abf913
Country8,test,2486,51,2852,1,29,8506919519,05-17-2023,88bfb562ec
Country5,control,3613,38,756,5,48,3397737861,05-18-2023,cbc842728e
Country6,control,3825,57,687,8,81,4936141657,05-19-2023,84a8e12130
Country1,test,2433,37,2473,1,84,7168070763,05-20-2023,2bc8b349ad
Country5,test,2328,46,2039,1,17,8254119673,05-21-2023,e40206e9c0
Country3,control,3642,31,688,10,84,2032350810,05-22-2023,de2d5d569c
Country1,control,3774,60,651,9,68,6849875492,05-23-2023,0bae720513
Country3,control,3280,44,514,8,96,1915390855,05-24-2023,25ceba4b2a
Country5,control,2929,51,596,8,81,2755517987,05-15-2023,77893e7939
Country9,test,3272,33,1105,1,6,6929252587,05-16-2023,e349c12d48
Country2,control,3778,54,603,10,78,1755490966,05-17-2023,4ec583ed7d
Country4,test,2883,46,1582,2,90,4505915225,05-18-2023,65c1b787d4
Country10,test,2576,55,2283,1,18,9090771667,05-19-2023,e4195ca98d
Country2,test,2220,51,2200,1,64,6137313568,05-20-2023,0a176bc8d6
Country1,control,3200,57,446,8,88,8291091875,05-21-2023,988bdee6f6
Country1,test,2707,44,1610,2,25,8648307902,05-22-2023,80a99a8add
Country4,control,4105,48,713,8,65,6504659015,05-23-2023,11ec1fe3a0
Country6,test,1395,40,1781,1,64,5444893410,05-24-2023,157142e780
Country4,control,4473,44,395,11,35,3387363717,05-15-2023,e17f452321
Country10,test,1929,53,2261,1,76,8005062032,05-16-2023,385217f1e9
Country5,test,2414,59,2196,1,78,4905852873,05-17-2023,6616f52f96
Country5,test,1647,61,2595,1,87,7404719896,05-18-2023,faf9177ec4
Country10,test,2331,42,1379,0,94,9835562351,05-19-2023,157e89191d
Country9,test,1644,52,1266,0,95,1974757539,05-20-2023,6bfd3820a1
Country3,control,3782,54,572,8,91,7940943932,05-21-2023,af23495d9e
Country10,test,2319,68,1489,1,95,6221486997,05-22-2023,4b0484ef86
Country5,control,2865,54,609,9,52,4588806677,05-23-2023,3a72031771
Country9,control,3448,49,487,10,48,4056217809,05-24-2023,14300c3e15
Country3,test,1630,53,1292,1,37,2156533292,05-15-2023,7095a2bb54
Country9,test,2402,42,3224,1,29,8525335314,05-16-2023,e2ba57e4f3
Country6,test,3410,38,2586,1,95,3540385467,05-17-2023,4d4968a567
Country1,control,3770,53,684,5,93,5909157274,05-18-2023,7900d6d471
Country2,test,2223,47,1848,1,38,1040920171,05-19-2023,96c6496ceb
Country10,control,3642,37,557,6,51,8544289705,05-20-2023,a78a6a0c83
Country3,test,2797,50,2485,1,71,9810671521,05-21-2023,99b3d2e59a
Country4,control,2799,58,751,9,84,3611687915,05-22-2023,a43347101c
Country5,control,2354,46,686,6,91,4679247679,05-23-2023,f35e4fadd1
Country10,control,2904,44,730,6,72,4151937525,05-24-2023,016ef15f7e
Country10,test,2809,54,1644,2,84,8679659151,05-15-2023,0a8d20f907
Country8,control,4407,38,703,10,100,1761613294,05-16-2023,d5ff72ef46
Country10,test,2824,35,2312,1,99,5693968814,05-17-2023,a8b591df85
Country3,test,2513,46,1200,1,35,1068863309,05-18-2023,1a2bcadd76
Country9,test,2614,51,2062,1,83,7853283082,05-19-2023,c3cc134e6b
Country2,test,3031,56,1542,1,60,9582919247,05-20-2023,328659040b
Country2,control,3548,48,569,6,40,2289847530,05-21-2023,d94eceb85e
Country2,control,3339,48,743,2,32,7965715576,05-22-2023,a4d6eaa916
Country1,test,3026,50,2349,1,63,3427104256,05-23-2023,bef3c5a14c
Country9,control,3706,43,583,8,14,5762636673,05-24-2023,1cda434112
Country2,control,3327,46,505,8,91,5076141664,05-15-2023,4ce9b33f63
Country10,test,2659,54,2521,1,54,2916548326,05-16-2023,a6885e8696
Country2,test,2956,57,2224,1,83,6955530828,05-17-2023,9017cb6a83
Country3,test,2633,39,3155,1,72,9907378220,05-18-2023,d63d8666dc
Country7,control,4174,45,636,6,6,1463309740,05-19-2023,b14fbdc671
Country8,test,2807,46,2061,2,13,3965509958,05-20-2023,6d752b8586
Country10,test,2249,30,1197,1,52,9995484143,05-21-2023,4f3bd7aa22
Country5,control,2817,52,664,6,11,8850237545,05-22-2023,6c3c0ff99e
Country5,test,2894,55,2118,2,62,1073536426,05-23-2023,02c28dd629
Country3,control,3978,63,602,9,93,4106576630,05-24-2023,382a5fc9f3
Country2,control,2940,45,535,9,81,5080333627,05-15-2023,f085b58175
Country10,test,1883,46,1756,1,88,4241435396,05-16-2023,d55a1ca38b
Country10,test,1664,67,2446,2,32,1081386306,05-17-2023,d7bd56c812
Country6,control,4115,56,510,5,2,2281800071,05-18-2023,5e61a31581
Country6,test,3381,58,2240,1,84,8147030323,05-19-2023,bdb1831c49
Country10,test,3070,58,1696,1,35,5579940704,05-20-2023,fdcc947a8f
Country9,test,1847,49,1339,1,66,1453296231,05-21-2023,7b3de0dbaf
Country10,test,1795,44,2594,1,26,4390498160,05-22-2023,081ba41f41
Country5,control,2699,63,452,10,32,8436974522,05-23-2023,047dc7862b
Country9,control,3468,56,512,7,28,3249546323,05-24-2023,9fe6e9fd84
Country8,control,3217,43,601,11,18,1569552619,05-15-2023,3663f2ed42
Country3,control,4074,38,614,8,19,3145472496,05-16-2023,447fcda853
Country3,test,2794,53,2695,2,64,7091431297,05-17-2023,218a18abaf
Country4,control,3867,47,576,5,37,3322314221,05-18-2023,b28907a175
Country6,test,2366,46,1857,1,18,7108788017,05-19-2023,5e7a1660dc
Country7,control,3043,31,597,6,66,8387912522,05-20-2023,6aec3847f0
Country3,test,2383,54,1957,0,62,7427071191,05-21-2023,d382ec79fc
Country9,test,2317,47,1459,1,60,8601839430,05-22-2023,6943a47b2a
Country2,test,2650,48,1335,1,66,5246395176,05-23-2023,7430a4e80f
Country10,test,2047,57,1538,1,79,8985950892,05-24-2023,b2dc0e80f2
Country10,test,1858,60,2046,1,81,4266967800,05-15-2023,44b71bc713
Country4,control,3568,59,681,10,38,3568590562,05-16-2023,61de505ff2
Country7,test,2387,38,2235,2,6,7513069594,05-17-2023,8bd35cd2f4
Country3,control,3307,50,563,6,39,8199982185,05-18-2023,3ad5a37eb4
Country10,test,2033,47,2388,1,34,7954275095,05-19-2023,e8f01e5454
Country2,control,3618,72,517,9,58,1423337669,05-20-2023,a01824be66
Country3,control,3537,44,415,7,11,6987110113,05-21-2023,ff7bd1090b
Country1,test,2381,45,1180,2,9,7403169709,05-22-2023,c6d930dd46
Country5,test,2416,46,1257,1,44,6571214965,05-23-2023,913596c64a
Country7,control,3802,37,607,8,98,3717201419,05-24-2023,44dbc941f4
Country3,control,3479,37,484,5,29,7467199915,05-15-2023,aff2af2aba
Country6,control,3697,54,613,10,55,5878273869,05-16-2023,f48a1600a8
Country8,control,3220,71,654,9,2,4962883279,05-17-2023,402fe2e8f0
Country8,control,2553,59,483,10,12,9416815691,05-18-2023,c5a507b516
Country6,control,3678,63,577,4,8,5185094761,05-19-2023,de95f6c49f
Country5,control,4051,46,520,6,22,3632004905,05-20-2023,dc59034e36
Country6,test,2034,50,2725,1,75,2901260574,05-21-2023,100dcd4763
Country10,test,2947,63,1512,1,77,4612514136,05-22-2023,cebaa502f5
Country7,test,2854,53,1352,1,51,7689417645,05-23-2023,8e2d4e589a
Country2,control,3800,43,709,9,92,8180978546,05-24-2023,dd3a432ff1
Country3,control,3600,42,587,7,35,1222272654,05-15-2023,47df275d13
Country10,control,3792,57,735,9,10,7662217887,05-16-2023,cf51c732ee
Country9,test,1851,40,2019,1,3,3093413601,05-17-2023,4736c558a3
Country9,control,3668,60,628,6,100,7833960712,05-18-2023,2bf16d56cd
Country2,control,2935,68,526,5,99,2722893011,05-19-2023,839809d44b
Country2,test,1842,55,2029,1,13,7570033628,05-20-2023,233bdc752a
Country7,test,2255,44,1133,2,13,3985921819,05-21-2023,2d4cd95e03
Country3,control,3441,47,840,8,67,9110466600,05-22-2023,6c1c7c0961
Country5,control,3034,30,753,7,75,2989917937,05-23-2023,acbdd7a329
Country8,test,1917,63,1731,1,23,4825677059,05-24-2023,781231a6f3
Country2,test,2453,42,2365,1,54,1749826216,05-15-2023,7500638ad1
Country2,control,4241,39,506,9,90,4445746931,05-16-2023,7b355f4050
Country7,test,2084,63,2345,1,89,4547245618,05-17-2023,a7018a516a
Country4,test,2563,51,2039,2,4,5677128195,05-18-2023,9fe49006ad
Country3,test,2834,36,2372,1,29,5646766380,05-19-2023,5b5f425a6b
Country1,test,2558,71,2506,1,7,9698520732,05-20-2023,a087f37936
Country5,test,2245,62,1870,1,5,1233501528,05-21-2023,ff8dbbabc7
Country9,control,2452,62,682,8,17,2143897696,05-22-2023,bf8dfb93be
Country10,control,3179,65,470,10,77,6509920295,05-23-2023,d588629aea
Country10,test,2930,39,2216,1,100,8768576933,05-24-2023,9ba9cb2168
Country1,control,4320,53,533,6,34,7632425373,05-15-2023,315da59f34
Country6,test,2501,48,1598,0,84,7502048779,05-16-2023,b0923b459e
